waktu,heading,wind speed,wind direction
16:34:02,277,0,157
16:34:04,277,0,153
16:34:06,277,0,167
16:34:08,277,0.1,110
16:34:11,276,0.6,159
16:34:13,277,0.6,168
16:34:15,277,0.5,149
16:34:17,277,0.4,150
16:34:19,277,1.8,151
16:34:21,276,0.6,149
16:34:23,276,0.6,155
16:34:25,276,0.8,148
16:34:28,276,1.9,140
16:34:30,276,3.1,144
16:34:32,277,1.8,149
16:34:34,276,0.9,143
16:34:36,276,0.9,152
16:34:38,276,0.8,132
16:34:40,276,0.8,154
16:34:42,276,0.6,138
16:34:45,276,1.3,150
16:34:47,276,1.8,152
16:34:49,277,0.7,145
16:34:51,276,0.5,143
16:34:53,276,1.2,139
16:34:56,276,3.1,155
16:34:58,276,1.5,150
16:35:00,276,0.6,159
16:35:02,276,0.8,165
16:35:04,276,0.7,140
16:35:07,277,0.3,173
16:35:09,277,0.6,132
16:35:11,277,0.6,215
16:35:13,277,0.6,110
16:35:15,277,0,140
16:35:18,277,0.1,287
16:35:20,277,0.2,271
16:35:22,278,0.3,263
16:35:24,278,0.2,112
16:35:26,278,0.5,145
16:35:29,278,0,159
16:35:31,278,0.1,147
16:35:33,279,0.4,155
16:35:35,279,0.2,149
16:35:37,279,0.2,148
16:35:40,279,0.4,151
16:35:42,279,0.6,155
16:35:44,279,0.7,155
16:35:46,279,0.5,160
16:35:48,279,0,147
16:35:51,279,0.1,178
16:35:53,280,0.1,202
16:35:55,280,0.1,186
16:35:57,280,0.1,160
16:35:59,280,0.1,151
16:36:02,281,0.4,151
16:36:04,282,0.3,153
16:36:06,282,0.6,156
16:36:08,284,0.6,150
16:36:10,285,0,154
16:36:13,286,0,164
16:36:15,287,0.8,157
16:36:17,288,0.8,137
16:36:19,288,2.7,147
16:36:21,288,1.9,157
16:36:24,289,1.1,159
16:36:26,289,0.8,149
16:36:28,289,1.8,150
16:36:30,289,1,133
16:36:32,289,0.8,169
16:36:34,288,0.6,146
16:36:36,288,1.7,151
16:36:38,288,2.5,152
16:36:40,288,3.1,149
16:36:42,288,1.7,148
16:36:44,287,0.9,151
16:36:46,287,0.7,158
16:36:49,287,0.6,151
16:36:51,287,0.4,100
16:36:53,287,0.4,178
16:36:55,286,0.6,117
16:36:57,286,0,105
16:36:59,286,0.1,4
16:37:01,286,0.2,302
16:37:04,286,0.1,293
16:37:06,285,0.1,137
16:37:08,285,0.2,166
16:37:10,285,0.8,183
16:37:12,285,0.9,140
16:37:15,284,0.8,135
16:37:17,285,0.3,145
16:37:19,284,0.9,151
16:37:21,283,0.4,164
16:37:23,283,0.6,133
16:37:25,283,0.1,162
16:37:28,282,0.4,71
16:37:30,282,0.4,216
16:37:32,282,0.5,102
16:37:34,281,0,35
16:37:36,280,0.1,331
16:37:39,280,0.2,342
16:37:41,279,0.2,342
16:37:43,279,0,340
16:37:45,278,0,355
16:37:47,278,0,19
16:37:50,277,0,16
16:37:52,277,0,5
16:37:54,276,0,325
16:37:56,276,0.1,322
16:37:58,275,0.3,327
16:38:01,274,0.3,353
16:38:03,274,0,338
16:38:05,274,0,329
16:38:07,273,0,340
16:38:09,272,0.3,23
16:38:12,272,0.7,346
16:38:14,271,0.5,354
16:38:16,271,0.6,332
16:38:18,271,0.5,3
16:38:20,270,0.7,27
16:38:23,270,0.7,319
16:38:25,270,0.9,339
16:38:27,270,0.3,27
16:38:29,270,0.7,335
16:38:31,271,0.9,330
16:38:33,270,0.7,339
16:38:36,271,0.9,41
16:38:38,271,0.6,348
16:38:40,272,0.5,19
16:38:42,272,0.2,30
16:38:44,273,0,345
16:38:46,273,0,342
16:38:49,274,0.2,0
16:38:51,275,0.2,353
16:38:53,275,0.2,4
16:38:55,276,0.2,325
16:38:57,276,0.1,5
16:39:00,277,0.1,256
16:39:02,277,0,281
16:39:04,278,0,285
16:39:06,278,0.1,280
16:39:08,278,0,243
16:39:11,278,0,146
16:39:13,278,0.1,234
16:39:15,278,0,300
16:39:17,279,0,171
16:39:19,278,0,258
16:39:21,278,0,283
16:39:24,278,0,276
16:39:26,279,0,333
16:39:28,278,0,2
16:39:30,278,0,348
16:39:32,278,0.1,295
16:39:35,278,0,348
16:39:37,278,0,335
16:39:39,277,0.2,111
16:39:41,277,0.4,151
16:39:43,277,0.8,157
16:39:45,277,0.5,140
16:39:47,277,0.5,90
16:39:50,276,0.6,133
16:39:52,277,0.2,149
16:39:54,277,0.6,210
16:39:56,277,0,188
16:39:58,277,0.2,205
16:40:01,277,0.1,268
16:40:03,277,0.1,263
16:40:05,277,0,260
16:40:07,277,0.1,288
16:40:09,277,0,12
16:40:12,278,0,350
16:40:14,278,0.1,339
16:40:16,277,0.1,344
16:40:18,277,0,319
16:40:20,278,0.1,338
16:40:23,278,0,338
16:40:25,278,0.2,202
16:40:27,277,0.1,171
16:40:29,277,0.5,176
16:40:31,277,0.7,156
16:40:34,277,0.6,159
16:40:36,277,0.5,157
16:40:38,277,0.5,140
16:40:40,277,0.6,159
16:40:42,277,0.4,152
16:40:45,277,0.4,145
16:40:47,277,0.2,152
16:40:49,277,0.6,149
16:40:51,276,0.7,153
16:40:53,277,0.7,166
16:40:56,276,1.2,154
16:40:58,277,0.3,117
16:41:00,276,0.4,124
16:41:02,276,0.4,104
16:41:04,276,0.7,1
16:41:06,276,0.6,333
16:41:09,276,0.6,334
16:41:11,276,0.5,73
16:41:13,277,0.3,321
16:41:15,277,0.5,325
16:41:17,277,0.3,355
16:41:19,277,0,348
16:41:22,277,0.2,262
16:41:24,277,0,176
16:41:26,277,0.1,160
16:41:28,277,0.2,239
16:41:30,277,0,295
16:41:33,278,0.1,307
16:41:35,277,0,302
16:41:37,277,0,282
16:41:39,277,0,128
16:41:41,277,0.1,151
16:41:44,277,0,178
16:41:46,277,0,158
16:41:48,277,0,150
16:41:50,277,0,131
16:41:52,277,0.1,165
16:41:54,277,0.2,146
16:41:57,277,0.2,150
16:41:59,277,0,150
16:42:01,277,0,185
16:42:03,277,0.6,155
16:42:05,277,3.2,132
16:42:08,276,1.7,151
16:42:10,277,1.2,150
16:42:12,277,2.2,130
