ComponentId,Latitude,Longitude,Depth
3,1.146490432,103.911274624,2.5
3,1.146508519,103.911274624,2.5
3,1.146508519,103.911256654,2.5
3,1.146526606,103.911274624,2.5
3,1.146519658,103.911292594,2.5
3,1.146509311,103.911346503,2.5
3,1.14651252,103.911382443,2.5
3,1.146524597,103.911418383,2.5
3,1.146581487,103.911490263,2.5
3,1.146617043,103.911520667,2.5
3,1.146659332,103.911544173,2.5
3,1.147485234,103.911888809,2.5
3,1.147539496,103.91190022,2.5
3,1.147593758,103.911901169,2.5
3,1.147828893,103.911867696,2.5
3,1.147883155,103.911878494,2.5
3,1.14791933,103.911902606,2.5
3,1.147973592,103.911957594,2.5
3,1.148030478,103.912029362,2.5
3,1.148051023,103.912065301,2.5
3,1.148062725,103.912119211,2.5
3,1.148056316,103.912173121,2.5
3,1.147998144,103.912406731,2.5
3,1.147966486,103.91247861,2.5
3,1.14791933,103.912508424,2.5
3,1.147810806,103.912525692,2.5
3,1.147575671,103.912536744,2.5
3,1.147268186,103.912563358,2.5
3,1.147195837,103.912562407,2.5
3,1.147149327,103.91255049,2.5
3,1.147121129,103.91253252,2.5
3,1.147014964,103.912412307,2.5
3,1.146924527,103.912335094,2.5
3,1.146870265,103.912304418,2.5
3,1.146816003,103.912295977,2.5
3,1.146483475,103.912388761,2.5
3,1.146399995,103.912423502,2.5
3,1.146371734,103.91244267,2.5
3,1.146345733,103.912471123,2.5
3,1.146325636,103.91253252,2.5
3,1.146273384,103.912559084,2.5
3,1.146145265,103.91258643,2.5
3,1.145875463,103.912610662,2.5
3,1.145821201,103.912624401,2.5
3,1.14579777,103.91264034,2.5
3,1.145768446,103.91267628,2.5
3,1.145640328,103.912938182,2.5
3,1.145588697,103.913017709,2.5
3,1.145567979,103.913029356,2.5
3,1.145531804,103.913016672,2.5
3,1.145387105,103.912893681,2.5
3,1.145314756,103.912865963,2.5
3,1.145242407,103.912825185,2.5
4,1.149474839,103.906575174,2.5
4,1.149474839,103.906530557,2.5
4,1.149492926,103.906530557,2.5
4,1.149492926,103.906494617,2.5
4,1.149511014,103.906494617,2.5
4,1.149511014,103.906440707,2.5
4,1.149529101,103.906440707,2.5
4,1.149529101,103.906386797,2.5
4,1.149547188,103.906386797,2.5
4,1.149547188,103.906350858,2.5
4,1.149565276,103.906350858,2.5
4,1.149565276,103.906296948,2.5
4,1.149583363,103.906296948,2.5
4,1.149583363,103.906243038,2.5
4,1.14960145,103.906243038,2.5
4,1.14960145,103.906207098,2.5
4,1.149619538,103.906207098,2.5
4,1.149619538,103.906153188,2.5
4,1.149637625,103.906153188,2.5
4,1.149637625,103.905973489,2.5
4,1.149619538,103.905955519,2.5
4,1.149619538,103.905829729,2.5
4,1.14960145,103.905811759,2.5
4,1.14960145,103.905685969,2.5
4,1.149583363,103.905667999,2.5
4,1.149583363,103.90554221,2.5
4,1.149565276,103.90552424,2.5
4,1.149565276,103.90539845,2.5
4,1.149547188,103.90538048,2.5
4,1.149547188,103.90534454,2.5
4,1.149565276,103.90534454,2.5
4,1.149565276,103.90532657,2.5
4,1.149583363,103.90532657,2.5
4,1.149583363,103.9053086,2.5
4,1.14960145,103.9053086,2.5
4,1.14960145,103.905290631,2.5
4,1.149619538,103.905290631,2.5
4,1.149619538,103.905272661,2.5
4,1.149637625,103.905272661,2.5
4,1.149637625,103.905254691,2.5
4,1.149673799,103.905254691,2.5
4,1.149673799,103.905218751,2.5
4,1.149691887,103.905218751,2.5
4,1.149691887,103.905182811,2.5
4,1.149709974,103.905182811,2.5
4,1.149709974,103.905146871,2.5
4,1.149728061,103.905146871,2.5
4,1.149728061,103.905092961,2.5
4,1.149746149,103.905092961,2.5
4,1.149746149,103.905057021,2.5
4,1.149764236,103.905057021,2.5
4,1.149764236,103.905021081,2.5
4,1.149782323,103.905021081,2.5
4,1.149782323,103.905003111,2.5
4,1.149800411,103.9050085,2.5
4,1.149818498,103.905012041,2.5
4,1.14987276,103.905001896,2.5
4,1.150035546,103.904923595,2.5
4,1.150216419,103.904852178,2.5
4,1.150288768,103.904835826,2.5
4,1.15034303,103.904842133,2.5
4,1.150415379,103.904863585,2.5
4,1.150541991,103.904938439,2.5
